0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
234,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
235,,потом,ПОТОМ,ADVPRO,,,"в школу , _потом_ учить уроки ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
236,,учить,УЧИТЬ,V ipf - - inf - -,,,"школу , потом _учить_ уроки , потом",ь,т,и,ч,у,,V,УЧИТЬ,V ipf - - inf - -,Ь
237,,уроки,УРОК,S m inan acc pl,,,", потом учить _уроки_ , потом идти",и,к,о,р,у,,S,УРОК,S m inan acc pl,К
238,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
239,,потом,ПОТОМ,ADVPRO,,,"учить уроки , _потом_ идти в секцию",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
240,,идти,ИДТИ,V ipf - - inf - -,,,"уроки , потом _идти_ в секцию ,",и,т,д,и,,,V,ИДТИ,V ipf - - inf - -,И
241,,в,В,PR,,,", потом идти _в_ секцию , а",в,,,,,,PR,В,PR,В
242,,секцию,СЕКЦИЯ,S f inan acc sg,,,"потом идти в _секцию_ , а здесь",ю,и,ц,к,е,с,S,СЕКЦИЯ,S f inan acc sg,Я
243,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
244,,а,А,CONJ,,,"в секцию , _а_ здесь как бы масса",а,,,,,,CONJ,А,CONJ,А
245,,здесь,ЗДЕСЬ,ADVPRO,,,"секцию , а _здесь_ как бы масса свободного",ь,с,е,д,з,,ADV,ЗДЕСЬ,ADV -,Ь
246,,как бы,как бы,PART,,,", а здесь _как бы_ масса свободного времени",ы,б, ,к,а,к,PART,как бы,ADV -,ы
247,,масса,МАССА,S f inan nom sg,,,а здесь как бы _масса_ свободного времени .,а,с,с,а,м,,S,МАССА,S f inan nom sg,А
248,,свободного,СВОБОДНЫЙ,A - gen sg plen n -,,,здесь как бы масса _свободного_ времени . ,о,г,о,н,д,о,A,СВОБОДНЫЙ,A - gen sg plen n -,Й
249,,времени,ВРЕМЯ,S n inan gen sg,,,как бы масса свободного _времени_ .  ,и,н,е,м,е,р,S,ВРЕМЯ,S n inan gen sg,Я
250,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
251,,,,,,,,,,,,,,,,,
252,# sent = 437,,,,,,,,,,,,,,,,
253,# speaker = Илья,,,,,,,,,,,,,,,,
254,# sent = 438,,,,,,,,,,,,,,,,
255,,Ходил,ХОДИТЬ,V ipf praet sg indic m -,,,   _Ходил_ на рыбалку .,л,и,д,о,х,,V,ХОДИТЬ,V ipf praet sg indic m -,Ь
256,,на,НА,PR,,,  Ходил _на_ рыбалку . ,а,н,,,,,PR,НА,PR,А
257,,рыбалку,РЫБАЛКА,S f inan acc sg,,, Ходил на _рыбалку_ .  ,у,к,л,а,б,ы,S,РЫБАЛКА,S f inan acc sg,А
258,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
259,,,,,,,,,,,,,,,,,
260,# sent = 439,,,,,,,,,,,,,,,,
261,,Вот,ВОТ,PART,,,.   _Вот_ я пристрастился к,т,о,в,,,,PART,ВОТ,PART,Т
262,,я,Я,SPRO sg 1p - nom,,,  Вот _я_ пристрастился к рыбной,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
263,,пристрастился,ПРИСТРАСТИТЬСЯ,V pf praet sg indic m -,,, Вот я _пристрастился_ к рыбной ловле,я,с,л,и,т,с,V,ПРИСТРАСТИТЬСЯ,V pf praet sg indic m -,Я
264,,к,К,PR,,,Вот я пристрастился _к_ рыбной ловле там,к,,,,,,PR,К,PR,К
265,,рыбной,РЫБНЫЙ,A - dat sg plen f -,,,я пристрастился к _рыбной_ ловле там .,й,о,н,б,ы,р,A,РЫБНЫЙ,A - dat sg plen f -,Й
266,,ловле,ЛОВЛЯ,S f inan dat sg,,,пристрастился к рыбной _ловле_ там . ,е,л,в,о,л,,S,ЛОВЛЯ,S f inan dat sg,Я
267,,там,ТАМ,PART,,,к рыбной ловле _там_ .  ,м,а,т,,,,PART,ТАМ,PART,М
268,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
269,,,,,,,,,,,,,,,,,
270,# sent = 440,,,,,,,,,,,,,,,,
271,,Как бы,Как бы,PART,,,".   _Как бы_ ничего , конечно",ы,б, ,к,а,к,PART,Как бы,ADV -,ы
272,,ничего,НИЧТО,PRAEDICPRO,,,"  Как бы _ничего_ , конечно ,",о,г,е,ч,и,н,SPRO,НИЧТО,S n - gen sg,О
273,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
274,,конечно,КОНЕЧНО,PARENTH,,,"Как бы ничего , _конечно_ , такого особо",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
275,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
276,,такого,ТАКОЙ,APRO - acc sg plen m inan,,,", конечно , _такого_ особо здорового не",о,г,о,к,а,т,APRO,ТАКОЙ,A - gen sg plen m -,Й
277,,особо,ОСОБО,ADV -,,,"конечно , такого _особо_ здорового не поймал",о,б,о,с,о,,ADV,ОСОБО,ADV -,О
278,,здорового,ЗДОРОВЫЙ,A - gen sg plen m -,,,", такого особо _здорового_ не поймал .",о,г,о,в,о,р,A,ЗДОРОВЫЙ,A - acc sg plen m anim,Й
279,,не,НЕ,PART,,,такого особо здорового _не_ поймал . ,е,н,,,,,PART,НЕ,PART,Е
280,,поймал,ПОЙМАТЬ,V pf praet sg indic m -,,,особо здорового не _поймал_ .  ,л,а,м,й,о,п,V,ПОЙМАТЬ,V pf praet sg indic m -,Ь
281,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
282,,,,,,,,,,,,,,,,,
283,# sent = 441,,,,,,,,,,,,,,,,
284,,Максимально,МАКСИМАЛЬНО,ADV -,,,.   _Максимально_ поймал щурёнка на,о,н,ь,л,а,м,ADV,МАКСИМАЛЬНО,ADV -,О
285,,поймал,ПОЙМАТЬ,V pf praet sg indic m -,,,  Максимально _поймал_ щурёнка на удочку,л,а,м,й,о,п,V,ПОЙМАТЬ,V pf praet sg indic m -,Ь
286,,щурёнка,ЩУРЕНОК,S m anim acc sg,,, Максимально поймал _щурёнка_ на удочку вот,а,к,н,ё,р,у,S,ЩУРЕНОК,S m anim acc sg,К
287,,на,НА,PR,,,Максимально поймал щурёнка _на_ удочку вот ...,а,н,,,,,PR,НА,PR,А
288,,удочку,УДОЧКА,S f inan acc sg,,,поймал щурёнка на _удочку_ вот ... вот,у,к,ч,о,д,у,S,УДОЧКА,S f inan acc sg,А
289,,вот,ВОТ,PART,,,щурёнка на удочку _вот_ ... вот такого,т,о,в,,,,PART,ВОТ,PART,Т
290,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
291,,вот,ВОТ,PART,,,удочку вот ... _вот_ такого вот .,т,о,в,,,,PART,ВОТ,PART,Т
292,,такого,ТАКОЙ,APRO - acc sg plen m inan,,,вот ... вот _такого_ вот . ,о,г,о,к,а,т,APRO,ТАКОЙ,A - gen sg plen m -,Й
293,,вот,ВОТ,PART,,,... вот такого _вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
294,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
295,,,,,,,,,,,,,,,,,
296,# sent = 442,,,,,,,,,,,,,,,,
297,,Ну,НУ,PART,,,.   _Ну_ ..  ,у,н,,,,,PART,НУ,PART,У
298,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
299,,,,,,,,,,,,,,,,,
300,# sent = 443,,,,,,,,,,,,,,,,
301,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
302,,то есть,то есть,CONJ,,,  . _то есть_ достаточно прилично -,ь,т,с,е, ,о,CONJ,то есть,ADV -,ь
303,,достаточно,ДОСТАТОЧНО,ADV -,,, . то есть _достаточно_ прилично - ну,о,н,ч,о,т,а,ADV,ДОСТАТОЧНО,ADV -,О
304,,прилично,ПРИЛИЧНО,ADV -,,,. то есть достаточно _прилично_ - ну на,о,н,ч,и,л,и,ADV,ПРИЛИЧНО,ADV -,О
305,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
306,,ну,НУ,PART,,,достаточно прилично - _ну_ на мой взгляд,у,н,,,,,PART,НУ,PART,У
307,,на,НА,PR,,,прилично - ну _на_ мой взгляд .,а,н,,,,,PR,НА,PR,А
308,,мой,МОЙ,APRO - acc sg plen m inan,,,- ну на _мой_ взгляд . ,й,о,м,,,,APRO,МОЙ,A - acc sg plen m inan,Й
309,,взгляд,ВЗГЛЯД,S m inan acc sg,,,ну на мой _взгляд_ .  ,д,я,л,г,з,в,S,ВЗГЛЯД,S m inan acc sg,Д
310,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
311,,,,,,,,,,,,,,,,,
312,# sent = 444,,,,,,,,,,,,,,,,
313,,Так-то,ТАК-ТО,PART,,,.   _Так-то_ в основном каких-то,о,т,-,к,а,т,PART,ТАК-ТО,PART,О
314,,в,В,PR,,,  Так-то _в_ основном каких-то вот,в,,,,,,PR,В,PR,В
315,,основном,ОСНОВНОЙ,A - loc sg plen m -,,, Так-то в _основном_ каких-то вот таких,м,о,н,в,о,н,A,ОСНОВНОЙ,A - loc sg plen m -,Й
316,,каких-то,КАКОЙ-ТО,APRO - gen pl plen - -,,,Так-то в основном _каких-то_ вот таких вот,о,т,-,х,и,к,APRO,КАКОЙ-ТО,A - gen pl plen - -,О
317,,вот,ВОТ,PART,,,в основном каких-то _вот_ таких вот таких,т,о,в,,,,PART,ВОТ,PART,Т
318,,таких,ТАКОЙ,APRO - gen pl plen - anim,,,основном каких-то вот _таких_ вот таких ловил,х,и,к,а,т,,APRO,ТАКОЙ,A - gen pl plen - -,Й
319,,вот,ВОТ,PART,,,каких-то вот таких _вот_ таких ловил рыбёшек,т,о,в,,,,PART,ВОТ,PART,Т
320,,таких,ТАКОЙ,APRO - gen pl plen - anim,,,вот таких вот _таких_ ловил рыбёшек там,х,и,к,а,т,,APRO,ТАКОЙ,A - gen pl plen - -,Й
321,,ловил,ЛОВИТЬ,V ipf praet sg indic m -,,,таких вот таких _ловил_ рыбёшек там уклеек,л,и,в,о,л,,V,ЛОВИТЬ,V ipf praet sg indic m -,Ь
322,,рыбёшек,РЫБЕШКА,S f anim gen pl,,,"вот таких ловил _рыбёшек_ там уклеек ,",к,е,ш,ё,б,ы,S,РЫБЕШКА,S f anim gen pl,А
323,,там,ТАМ,ADVPRO,,,"таких ловил рыбёшек _там_ уклеек , плотву",м,а,т,,,,ADV,ТАМ,ADV -,М
324,,уклеек,УКЛЕЙКА,S f anim acc pl,,,"ловил рыбёшек там _уклеек_ , плотву там",к,е,е,л,к,у,S,УКЛЕЙКА,S f anim acc pl,А
325,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
326,,плотву,ПЛОТВА,S f anim acc sg,,,"там уклеек , _плотву_ там , густеру",у,в,т,о,л,п,S,ПЛОТВА,S f anim acc sg,А
327,,там,ТАМ,ADVPRO,,,"уклеек , плотву _там_ , густеру ,",м,а,т,,,,ADV,ТАМ,ADV -,М
328,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
329,,густеру,ГУСТЕРА,S f anim acc sg,,,"плотву там , _густеру_ , всякое такое",у,р,е,т,с,у,S,ГУСТЕРА,S f anim acc sg,А
330,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
331,,всякое,ВСЯКИЙ,A - acc sg plen n -,,,", густеру , _всякое_ такое . ",е,о,к,я,с,в,A,ВСЯКИЙ,A - acc sg plen n -,Й
332,,такое,ТАКОЙ,APRO - acc sg plen n inan,,,"густеру , всякое _такое_ .  ",е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
333,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
334,,,,,,,,,,,,,,,,,
335,# sent = 445,,,,,,,,,,,,,,,,
336,,Ну,НУ,PART,,,".   _Ну_ , ершей допустим",у,н,,,,,PART,НУ,PART,У
337,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
338,,ершей,ЕРШ,S m anim acc pl,,," Ну , _ершей_ допустим ловил .",й,е,ш,р,е,,S,ЕРШ,S m anim acc pl,Ш
339,,допустим,ДОПУСТИТЬ,PARENTH,,,"Ну , ершей _допустим_ ловил . ",м,и,т,с,у,п,V,ДОПУСТИТЬ,V pf - pl imper - 1p,Ь
340,,ловил,ЛОВИТЬ,V ipf praet sg indic m -,,,", ершей допустим _ловил_ .  ",л,и,в,о,л,,V,ЛОВИТЬ,V ipf praet sg indic m -,Ь
341,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
342,,,,,,,,,,,,,,,,,
343,# sent = 446,,,,,,,,,,,,,,,,
344,,Ершей,ЕРШ,S m anim acc pl,,,.   _Ершей_ - это когда,й,е,ш,р,е,,S,ЕРШ,S m anim acc pl,Ш
345,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
346,,это,ЭТО,PART,,, Ершей - _это_ когда заходишь ..,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
347,,когда,КОГДА,CONJ,,,Ершей - это _когда_ заходишь .. ,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
348,,заходишь,ЗАХОДИТЬ,V ipf praes sg indic - 2p,,,- это когда _заходишь_ ..  ,ь,ш,и,д,о,х,V,ЗАХОДИТЬ,V ipf praes sg indic - 2p,Ь
349,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
350,,,,,,,,,,,,,,,,,
351,# sent = 447,,,,,,,,,,,,,,,,
352,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
353,,блин,БЛИН,INTJ,,,"  . _блин_ , а как",н,и,л,б,,,S,БЛИН,S m inan acc sg,Н
354,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
355,,а,А,CONJ,,,". блин , _а_ как это называется",а,,,,,,CONJ,А,CONJ,А
356,,как,КАК,ADVPRO,,,"блин , а _как_ это называется ,",к,а,к,,,,ADV,КАК,ADV -,К
357,,это,ЭТО,SPRO n - nom sg,,,", а как _это_ называется , я",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
358,,называется,НАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,,,"а как это _называется_ , я уже",я,с,т,е,а,в,V,НАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,Я
359,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
360,,я,Я,SPRO sg 1p - nom,,,"это называется , _я_ уже даже слово",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
361,,уже,УЖЕ,ADV -,,,"называется , я _уже_ даже слово забыл",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
362,,даже,ДАЖЕ,PART,,,", я уже _даже_ слово забыл ...",е,ж,а,д,,,PART,ДАЖЕ,PART,Е
363,,слово,СЛОВО,S n inan acc sg,,,я уже даже _слово_ забыл ... то есть,о,в,о,л,с,,S,СЛОВО,S n inan nom sg,О
364,,забыл,ЗАБЫТЬ,V pf praet sg indic m -,,,уже даже слово _забыл_ ... то есть за,л,ы,б,а,з,,V,ЗАБЫТЬ,V pf praet sg indic m -,Ь
365,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
366,,то есть,то есть,CONJ,,,слово забыл ... _то есть_ за ... ,ь,т,с,е, ,о,CONJ,то есть,ADV -,ь
367,,за,ЗА,PR,,,забыл ... то есть _за_ ...  ,а,з,,,,,PR,ЗА,PR,А
368,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
369,,,,,,,,,,,,,,,,,
370,# sent = 448,,,,,,,,,,,,,,,,
371,,А,А,INTJ,,,"...   _А_ , мы называли",а,,,,,,CONJ,А,CONJ,А
372,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
373,,мы,МЫ,SPRO pl 1p - nom,,," А , _мы_ называли "" на",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
374,,называли,НАЗЫВАТЬ,V ipf praet pl indic - -,,,"А , мы _называли_ "" на мутёху",и,л,а,в,ы,з,V,НАЗЫВАТЬ,V ipf praet pl indic - -,Ь
375,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
376,,на,НА,PR,,,"мы называли "" _на_ мутёху "" .",а,н,,,,,PR,НА,PR,А
377,,мутёху,МУТЕХА,S f inan acc sg,,,"называли "" на _мутёху_ "" . ",у,х,ё,т,у,м,S,МУТЕХА,S f inan acc sg,А
378,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
379,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
380,,,,,,,,,,,,,,,,,
381,# sent = 449,,,,,,,,,,,,,,,,
382,,Заходишь,ЗАХОДИТЬ,V ipf praes sg indic - 2p,,,".   _Заходишь_ , где вот",ь,ш,и,д,о,х,V,ЗАХОДИТЬ,V ipf praes sg indic - 2p,Ь
383,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
384,,где,ГДЕ,ADVPRO,,," Заходишь , _где_ вот в реке",е,д,г,,,,ADV,ГДЕ,ADV -,Е
385,,вот,ВОТ,PART,,,"Заходишь , где _вот_ в реке был",т,о,в,,,,PART,ВОТ,PART,Т
386,,в,В,PR,,,", где вот _в_ реке был брод",в,,,,,,PR,В,PR,В
387,,реке,РЕКА,S f inan loc sg,,,где вот в _реке_ был брод .,е,к,е,р,,,S,РЕКА,S f inan loc sg,А
388,,был,БЫТЬ,V ipf praet sg indic m -,,,вот в реке _был_ брод . ,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
389,,брод,БРОД,S m inan nom sg,,,в реке был _брод_ .  ,д,о,р,б,,,S,БРОД,S m inan nom sg,Д
390,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
391,,,,,,,,,,,,,,,,,
392,# sent = 450,,,,,,,,,,,,,,,,
393,,То есть,То есть,CONJ,,,.   _То есть_ там по пояс,ь,т,с,е, ,о,CONJ,То есть,ADV -,ь
394,,там,ТАМ,ADVPRO,,,  То есть _там_ по пояс где-то,м,а,т,,,,ADV,ТАМ,ADV -,М
395,,по,ПО,PR,,, То есть там _по_ пояс где-то нам,о,п,,,,,PR,ПО,PR,О
396,,пояс,ПОЯС,S m inan acc sg,,,То есть там по _пояс_ где-то нам было,с,я,о,п,,,S,ПОЯС,S m inan acc sg,С
397,,где-то,ГДЕ-ТО,ADVPRO,,,там по пояс _где-то_ нам было .,о,т,-,е,д,г,ADV,ГДЕ-ТО,ADV -,О
398,,нам,МЫ,SPRO pl 1p - dat,,,по пояс где-то _нам_ было . ,м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
399,,было,БЫТЬ,V ipf praet sg indic n -,,,пояс где-то нам _было_ .  ,о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
400,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
401,,,,,,,,,,,,,,,,,
402,# sent = 451,,,,,,,,,,,,,,,,
403,,Вот,ВОТ,PART,,,.   _Вот_ заходишь в реку,т,о,в,,,,PART,ВОТ,PART,Т
404,,заходишь,ЗАХОДИТЬ,V ipf praes sg indic - 2p,,,  Вот _заходишь_ в реку с,ь,ш,и,д,о,х,V,ЗАХОДИТЬ,V ipf praes sg indic - 2p,Ь
405,,в,В,PR,,, Вот заходишь _в_ реку с удочкой,в,,,,,,PR,В,PR,В
406,,реку,РЕКА,S f inan acc sg,,,Вот заходишь в _реку_ с удочкой и,у,к,е,р,,,S,РЕКА,S f inan acc sg,А
407,,с,С,PR,,,заходишь в реку _с_ удочкой и ногами,с,,,,,,PR,С,PR,С
408,,удочкой,УДОЧКА,S f inan ins sg,,,в реку с _удочкой_ и ногами шевелишь,й,о,к,ч,о,д,S,УДОЧКА,S f inan ins sg,А
409,,и,И,CONJ,,,реку с удочкой _и_ ногами шевелишь как бы,и,,,,,,CONJ,И,CONJ,И
410,,ногами,НОГА,S f inan ins pl,,,с удочкой и _ногами_ шевелишь как бы песок,и,м,а,г,о,н,S,НОГА,S f inan ins pl,А
411,,шевелишь,ШЕВЕЛИТЬ,V ipf praes sg indic - 2p,,,"удочкой и ногами _шевелишь_ как бы песок ,",ь,ш,и,л,е,в,V,ШЕВЕЛИТЬ,V ipf praes sg indic - 2p,Ь
412,,как бы,как бы,PART,,,"и ногами шевелишь _как бы_ песок , и",ы,б, ,к,а,к,PART,как бы,ADV -,ы
413,,песок,ПЕСОК,S m inan acc sg,,,"ногами шевелишь как бы _песок_ , и прям",к,о,с,е,п,,S,ПЕСОК,S m inan nom sg,К
414,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
415,,и,И,CONJ,,,"как бы песок , _и_ прям вот ловишь",и,,,,,,CONJ,И,CONJ,И
416,,прям,ПРЯМОЙ,PART,,,"песок , и _прям_ вот ловишь у",м,я,р,п,,,A,ПРЯМОЙ,A - - sg brev m -,Й
417,,вот,ВОТ,PART,,,", и прям _вот_ ловишь у себя",т,о,в,,,,PART,ВОТ,PART,Т
418,,ловишь,ЛОВИТЬ,V ipf praes sg indic - 2p,,,и прям вот _ловишь_ у себя из,ь,ш,и,в,о,л,V,ЛОВИТЬ,V ipf praes sg indic - 2p,Ь
419,,у,У,PR,,,прям вот ловишь _у_ себя из под,у,,,,,,PR,У,PR,У
420,,себя,СЕБЯ,SPRO - - - gen,,,вот ловишь у _себя_ из под ног,я,б,е,с,,,SPRO,СЕБЯ,SPRO - - - acc,Я
421,,из,ИЗ,PR,слитно,,ловишь у себя _из_ под ног ...,з,и,,,,,PR,ИЗ,PR,З
422,,под,ПОД,PR,,,у себя из _под_ ног ... пескариков,д,о,п,,,,PR,ПОД,PR,Д
423,,ног,НОГА,S f inan gen pl,,,себя из под _ног_ ... пескариков .,г,о,н,,,,S,НОГА,S m inan gen sg,А
424,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
425,,пескариков,ПЕСКАРИК,S m anim acc pl,,,под ног ... _пескариков_ .  ,в,о,к,и,р,а,S,ПЕСКАРИК,S m anim acc pl,К
426,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
427,,,,,,,,,,,,,,,,,
428,# sent = 452,,,,,,,,,,,,,,,,
429,"<distinct form=""",,,,,,,,,,,,,,,,
430,<dist>,Во-о-от,,,,,,,,,,,,,,,
431,""">",,,,,,,,,,,,,,,,
432,,вот,ВОТ,PART,,, Во-о-от  _вот_  . ,т,о,в,,,,PART,ВОТ,PART,Т
433,</distinct>,,,,,,,,,,,,,,,,
434,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
435,,,,,,,,,,,,,,,,,
436,# sent = 453,,,,,,,,,,,,,,,,
437,# speaker = Илья,,,,,,,,,,,,,,,,
438,# sent = 454,,,,,,,,,,,,,,,,
439,,Ну,НУ,PART,,,"   _Ну_ , в общем",у,н,,,,,PART,НУ,PART,У
440,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
441,,в,В,PR,,," Ну , _в_ общем , такое",в,,,,,,PR,В,PR,В
442,,общем,ОБЩИЙ,A - loc sg plen m -,,,"Ну , в _общем_ , такое у",м,е,щ,б,о,,A,ОБЩИЙ,A - loc sg plen m -,Й
443,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
444,,такое,ТАКОЙ,APRO - nom sg plen n -,,,"в общем , _такое_ у меня воспоминание",е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
445,,у,У,PR,,,"общем , такое _у_ меня воспоминание как бы",у,,,,,,PR,У,PR,У
446,,меня,Я,SPRO sg 1p - gen,,,", такое у _меня_ воспоминание как бы детства",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
447,,воспоминание,ВОСПОМИНАНИЕ,S n inan nom sg,,,такое у меня _воспоминание_ как бы детства о,е,и,н,а,н,и,S,ВОСПОМИНАНИЕ,S n inan nom sg,Е
448,,как бы,как бы,PART,,,у меня воспоминание _как бы_ детства о пионерских,ы,б, ,к,а,к,PART,как бы,ADV -,ы
449,,детства,ДЕТСТВО,S n inan gen sg,,,меня воспоминание как бы _детства_ о пионерских и,а,в,т,с,т,е,S,ДЕТСТВО,S n inan gen sg,О
450,,о,О,PR,,,воспоминание как бы детства _о_ пионерских и спортивных,о,,,,,,PR,О,PR,О
451,,пионерских,ПИОНЕРСКИЙ,A - loc pl plen - -,,,как бы детства о _пионерских_ и спортивных лагерях,х,и,к,с,р,е,A,ПИОНЕРСКИЙ,A - loc pl plen - -,Й
452,,и,И,CONJ,,,детства о пионерских _и_ спортивных лагерях .,и,,,,,,CONJ,И,CONJ,И
453,,спортивных,СПОРТИВНЫЙ,A - loc pl plen - -,,,о пионерских и _спортивных_ лагерях . ,х,ы,н,в,и,т,A,СПОРТИВНЫЙ,A - loc pl plen - -,Й
454,,лагерях,ЛАГЕРЬ,S m inan loc pl,,,пионерских и спортивных _лагерях_ .  ,х,я,р,е,г,а,S,ЛАГЕРЬ,S m inan loc pl,Ь
455,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
456,,,,,,,,,,,,,,,,,
457,# sent = 455,,,,,,,,,,,,,,,,
458,,А,А,CONJ,,,.   _А_ в пионерских лагерях,а,,,,,,CONJ,А,CONJ,А
459,,в,В,PR,,,  А _в_ пионерских лагерях ещё,в,,,,,,PR,В,PR,В
460,,пионерских,ПИОНЕРСКИЙ,A - loc pl plen - -,,, А в _пионерских_ лагерях ещё ...,х,и,к,с,р,е,A,ПИОНЕРСКИЙ,A - loc pl plen - -,Й
461,,лагерях,ЛАГЕРЬ,S m inan loc pl,,,А в пионерских _лагерях_ ещё ... ,х,я,р,е,г,а,S,ЛАГЕРЬ,S m inan loc pl,Ь
462,,ещё,ЕЩЕ,ADV -,,,в пионерских лагерях _ещё_ ...  ,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
463,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
464,,,,,,,,,,,,,,,,,
465,# sent = 456,,,,,,,,,,,,,,,,
466,,Интересно,ИНТЕРЕСНО,ADV -,,,...   _Интересно_ что-нибудь такое рассказать,о,н,с,е,р,е,ADV,ИНТЕРЕСНО,ADV -,О
467,,что-нибудь,ЧТО-НИБУДЬ,SPRO n inan acc sg,,,  Интересно _что-нибудь_ такое рассказать .,ь,д,у,б,и,н,SPRO,ЧТО-НИБУДЬ,S n - nom sg,Ь
468,,такое,ТАКОЙ,APRO - acc sg plen n inan,,, Интересно что-нибудь _такое_ рассказать . ,е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
469,,рассказать,РАССКАЗАТЬ,V pf - - inf - -,,,Интересно что-нибудь такое _рассказать_ .  ,ь,т,а,з,а,к,V,РАССКАЗАТЬ,V pf - - inf - -,Ь
470,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
471,,,,,,,,,,,,,,,,,
472,# sent = 457,,,,,,,,,,,,,,,,
473,,Эх,ЭХ,INTJ,,,.   _Эх_ .  ,х,э,,,,,INTJ,ЭХ,INTJ,Х
474,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
475,,,,,,,,,,,,,,,,,
476,# sent = 458,,,,,,,,,,,,,,,,
477,# speaker = Илья,,,,,,,,,,,,,,,,
478,# sent = 459,,,,,,,,,,,,,,,,
479,,Кстати,КСТАТИ,PARENTH,,,   _Кстати_ я ездил когда,и,т,а,т,с,к,ADV,КСТАТИ,ADV -,И
480,,я,Я,SPRO sg 1p - nom,,,  Кстати _я_ ездил когда в,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
481,,ездил,ЕЗДИТЬ,V ipf praet sg indic m -,,, Кстати я _ездил_ когда в пионерский,л,и,д,з,е,,V,ЕЗДИТЬ,V ipf praet sg indic m -,Ь
482,,когда,КОГДА,CONJ,,,Кстати я ездил _когда_ в пионерский лагерь,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
